intervalo;setor;endereco;turno;rota_setor;frequencia
07:30 à 12:00 hs;6-02 A;R OLÍMPIO CHACON;MANHÃ;1;DIARIA
07:30 à 12:00 hs;6-02 A;R TURIAÇÚ;MANHÃ;2;DIARIA
07:30 à 12:00 hs;6-02 A;R MARIÁPOLIS;MANHÃ;3;DIARIA
07:30 à 12:00 hs;6-02 A;R GARDÊNIA;MANHÃ;4;DIARIA
07:30 à 12:00 hs;6-02 A;R PORTO UNIÃO;MANHÃ;5;DIARIA
07:30 à 12:00 hs;6-02 A;R APRÍGIO ALVES;MANHÃ;6;DIARIA
07:30 à 12:00 hs;6-02 A;R ABC;MANHÃ;7;DIARIA
13:00 à 17:20 hs;6-02 A;R TURIAÇÚ;TARDE;8;DIARIA
13:00 à 17:20 hs;6-02 A;R PORTO UNIÃO;TARDE;9;DIARIA
13:00 à 17:20 hs;6-02 A;R APRÍGIO ALVES;TARDE;10;DIARIA
13:00 à 17:20 hs;6-02 A;R ABC;TARDE;11;DIARIA
13:00 à 17:20 hs;6-02 A;R SANTO CRISTO;TARDE;12;DIARIA
13:00 à 17:20 hs;6-02 A;R OLÍMPIO CHACON;TARDE;13;DIARIA
13:00 à 17:20 hs;6-02 A;R DJALMA HONÓRIO;TARDE;14;DIARIA
13:00 à 17:20 hs;6-02 A;R SANTO CRISTO;TARDE;15;DIARIA
13:00 à 17:20 hs;6-02 A;R TURIAÇÚ;TARDE;16;DIARIA
13:00 à 17:20 hs;6-02 A;R GARDÊNIA;TARDE;17;DIARIA
13:00 à 17:20 hs;6-02 A;R APRÍGIO ALVES;TARDE;18;DIARIA
13:00 à 17:20 hs;6-02 A;R GARDÊNIA;TARDE;19;DIARIA
13:00 à 17:20 hs;6-02 A;R MARIÁPOLIS;TARDE;20;DIARIA
13:00 à 17:20 hs;6-02 A;R TURIAÇÚ;TARDE;21;DIARIA
07:30 à 12:00 hs;6-02 B;R DOS PRAZERES;MANHÃ;1;DIARIA
07:30 à 12:00 hs;6-02 B;TV DOS PRAZERES;MANHÃ;2;DIARIA
07:30 à 12:00 hs;6-02 B;2ª TV DOS PRAZERES;MANHÃ;3;DIARIA
07:30 à 12:00 hs;6-02 B;4ª TV DOS PRAZERES;MANHÃ;4;DIARIA
13:00 à 17:20 hs;6-02 B;R SÃO SILVESTRE;TARDE;5;DIARIA
13:00 à 17:20 hs;6-02 B;R A MURALHA;TARDE;6;DIARIA
13:00 à 17:20 hs;6-02 B;R TERRA NOSTRA;TARDE;7;DIARIA
13:00 à 17:20 hs;6-02 B;R VEREADOR TOMAZ LOBO;TARDE;8;DIARIA
07:30 à 12:00 hs;6-04 A;AV CENTRAL;MANHÃ;1;DIARIA
07:30 à 12:00 hs;6-04 A;AV MARTIN LUTHER KING;MANHÃ;2;DIARIA
07:30 à 12:00 hs;6-04 A;R BAHIA FORMOSA;MANHÃ;3;DIARIA
07:30 à 12:00 hs;6-04 A;R CONCEICÃO DE MAÇABU;MANHÃ;4;DIARIA
07:30 à 12:00 hs;6-04 A;R CONCEIÇÃO DE MAÇABU;MANHÃ;4;DIARIA
07:30 à 12:00 hs;6-04 A;R CONCEICÃO DE MAÇABU;MANHÃ;4;DIARIA
07:30 à 12:00 hs;6-04 A;R IBIPORÃ;MANHÃ;5;DIARIA
07:30 à 12:00 hs;6-04 A;R CONCEICÃO DE MAÇABU;MANHÃ;6;DIARIA
07:30 à 12:00 hs;6-04 A;R CONCEIÇÃO DE MAÇABU;MANHÃ;6;DIARIA
07:30 à 12:00 hs;6-04 A;AV CENTRAL;MANHÃ;7;DIARIA
07:30 à 12:00 hs;6-04 A;R MIRANDÓPOLIS;MANHÃ;8;DIARIA
07:30 à 12:00 hs;6-04 A;AV CENTRAL;MANHÃ;9;DIARIA
07:30 à 12:00 hs;6-04 A;AV CENTRAL;MANHÃ;9;DIARIA
07:30 à 12:00 hs;6-04 A;R HORTÊNCIA;MANHÃ;10;DIARIA
07:30 à 12:00 hs;6-04 A;TV DO CAMPO;MANHÃ;11;DIARIA
07:30 à 12:00 hs;6-04 A;R NOVA AURORA;MANHÃ;12;DIARIA
13:00 à 17:20 hs;6-04 A;R HORTÊNCIA;TARDE;13;DIARIA
13:00 à 17:20 hs;6-04 A;R HORTÊNCIA;TARDE;13;DIARIA
13:00 à 17:20 hs;6-04 A;AV CENTRAL;TARDE;14;DIARIA
13:00 à 17:20 hs;6-04 A;R BRASLÂNDIA;TARDE;15;DIARIA
13:00 à 17:20 hs;6-04 A;R ITAGUAI;TARDE;16;DIARIA
13:00 à 17:20 hs;6-04 A;R BRASLÂNDIA;TARDE;17;DIARIA
13:00 à 17:20 hs;6-04 A;R ESPERANTINA;TARDE;18;DIARIA
13:00 à 17:20 hs;6-04 A;R MIRANDÓPOLIS;TARDE;19;DIARIA
13:00 à 17:20 hs;6-04 A;R DIAMANTE DO NORTE;TARDE;20;DIARIA
13:00 à 17:20 hs;6-04 A;R GUAPIRAMA;TARDE;21;DIARIA
13:00 à 17:20 hs;6-04 A;R MIRANDÓPOLIS;TARDE;22;DIARIA
13:00 à 17:20 hs;6-04 A;R DOURADINA;TARDE;23;DIARIA
13:00 à 17:20 hs;6-04 A;R CAMBUÍ;TARDE;24;DIARIA
13:00 à 17:20 hs;6-04 A;R CAIBI;TARDE;25;DIARIA
13:00 à 17:20 hs;6-04 A;R CAETITE;TARDE;26;DIARIA
13:00 à 17:20 hs;6-04 A;R ITABAPOANA;TARDE;27;DIARIA
13:00 à 17:20 hs;6-04 A;R BUQUIM;TARDE;28;DIARIA
